Партія,Номер територіального виборчого округу (в порядку зростання),Код статті,Дата платежу,Номер розрахункового документа,Отримувач (повна назва),Місцезнаходження отримувача,Код отримувача (ЄДРПОУ),Призначення платежу,Сума (грн),Тип бенефіціара,Розшифровка коду витрат
"Всеукраїнське обʼєднання ""Батьківщина""",223,1211,2019-06-27,1626,"ТОВ ""Новий канал""","м. Київ, вул. Тургенєвська, буд. 25",23530545,"Оплата ефірного часу на телебаченні згідно з рахунком № СФ-00000186 від 27.06.2019, в т.ч. ПДВ 66695.00 грн.",400170,юридична особа,оплата ефірного часу на телебаченні
"Всеукраїнське обʼєднання ""Батьківщина""",223,1211,2019-06-27,1625,"ТОВ ""Телеканал ""СТБ""","м. Київ, вул. Івана Шевцова, буд. 1",20044726,"Оплата ефірного часу на телебаченні згідно з рахунком № 422 від 27.06.2019, в т.ч. ПДВ 172155.00 грн.",1032930,юридична особа,оплата ефірного часу на телебаченні
"Всеукраїнське обʼєднання ""Батьківщина""",223,1211,2019-06-27,1621,"ТОВ ""Телерадіокомпанія ""Студія 1+1""","м. Київ, вул. Кирилівська, буд. 23",23729809,"Оплата ефірного часу на телебаченні (Розповсюдження предвиборної агітації на каналах) згідно з рахунком № 563 від 27.06.2019, в т.ч. ПДВ 175500.00 грн.",1053000,юридична особа,оплата ефірного часу на телебаченні
"Всеукраїнське обʼєднання ""Батьківщина""",223,1211,2019-06-27,1623,"ТОВ ""Міжнародна комерційна телерадіокомпанія"" (ICTV)","м. Київ, вул. Паньківська, буд. 11",14323764,"Оплата ефірного часу на телебаченні згідно з рахунком № 209 від 27.06.2019, в т.ч. ПДВ 180410.00 грн.",1082460,юридична особа,оплата ефірного часу на телебаченні
"Всеукраїнське обʼєднання ""Батьківщина""",223,1211,2019-06-27,1620,"ТОВ ""Телерадіокомпанія ""Студія 1+1""","м. Київ, вул. Кирилівська, буд. 23",23729809,"Оплата ефірного часу на телебаченні (Розповсюдження предвиборної агітації на каналах) згідно з рахунком № 562 від 27.06.2019, в т.ч. ПДВ 353250.00 грн.",2119500,юридична особа,оплата ефірного часу на телебаченні
"Всеукраїнське обʼєднання ""Батьківщина""",223,1211,2019-07-01,1641,"ТОВ ""Інтер реклама центр""","м. Київ, вул. Воровського, буд. 22А",30524103,Оплата ефірного часу на телебаченні згідно з рахунком №124 від 01.07.2019 в т.ч. ПДВ 63333.33 грн.,380000,юридична особа,оплата ефірного часу на телебаченні
"Всеукраїнське обʼєднання ""Батьківщина""",223,1211,2019-07-01,1633,"ТОВ ""Телерадіокомпанія ""Україна""","Донецька обл., м. Маріуполь, вул. Харлампіївська, буд. 17/25",05744121,Оплата ефірного часу на телебаченні (Розповсюдження предвиборної агітації на каналах) згідно з рахунком № 560 від 01.07.2019 в т.ч. ПДВ 130833.33 грн.,785000,юридична особа,оплата ефірного часу на телебаченні
"Всеукраїнське обʼєднання ""Батьківщина""",223,1211,2019-07-02,1676,"ТОВ ""А бізнес""","м. Дніпро, просп. Олександра Поля, буд. 11",37452863,Оплата ефірного часу на телебаченні згідно з Додатком №1 до Договору від 01.07.2019 без ПДВ,5280,юридична особа,оплата ефірного часу на телебаченні
"Всеукраїнське обʼєднання ""Батьківщина""",223,1400,2019-07-02,1674,"ТОВ ""Сьогодні мультимедіа""","м. Київ, вул. Борщагівська, буд. 152Б",24916531,Інші витрати на предвиборну агітацію згідно з рахунком №СІГ-19-0103 від 2.07.2019 в т.ч. ПДВ 1500.00 грн.,9000,юридична особа,"Інші витрати на передвиборну агітацію (розповсюдження виборчих листівок, плакатів та інших друкованих агітаційних матеріалів чи друкованих видань; проведення мітингів, походів, демонстрацій, пікетів, концертів, вистав, спортивних змагань, демонстрації фільмів та телепередач чи інших публічних заходів за підтримки політичної партії – суб’єкта виборчого процесу чи кандидата на пост Президента України тощо)"
"Всеукраїнське обʼєднання ""Батьківщина""",223,1211,2019-07-02,1673,"Дочірнє підприємство ""Телерадіокомпанія ""Стерх"" ТОВ ""Природні інвестиції""","м. Дніпро, вул. Писаржевського, буд. 1А",24434223,Оплата ефірного часу на телебаченні згідно Додатку №1 до договору №190702-V від 01.07.2019 в т.ч. ПДВ 2100.00 грн.,12600,юридична особа,оплата ефірного часу на телебаченні
"Всеукраїнське обʼєднання ""Батьківщина""",223,1211,2019-07-02,1668,"ПрАТ ""Телевізійна служба Дніпропетровська""","м. Дніпро, вул. Воскресенська, буд. 14, оф. 107",20264089,Оплата ефірного часу на телебаченні згідно з Дадатком №2 до Договору №14/1 від 02.07.2019 в т.ч. ПДВ 2400.00 грн.,14400,юридична особа,оплата ефірного часу на телебаченні
"Всеукраїнське обʼєднання ""Батьківщина""",223,1211,2019-07-02,1661,"ТОВ ""Радіо ""Мікс""","м. Дніпро, вул. Кольцова, буд. 8, кв. 2",20301672,Оплата ефірного часу на радіо згідно з Додатком №1 до Договору № РМ07/01072019 від 01.07.2019 в т.ч. ПДВ 3240.00 грн.,19440,юридична особа,оплата ефірного часу на телебаченні
"Всеукраїнське обʼєднання ""Батьківщина""",223,1400,2019-07-02,1672,"ТОВ ""Альфаком""","м. Дніпро, вул. Воскресенська, буд. 14, оф. 107",31952558,Інші витрати на предвиборну агітацію згідно з Додатковою угодою №1 до Договору №05/01072019 від 01.07.2019 без ПДВ.,35000,юридична особа,"Інші витрати на передвиборну агітацію (розповсюдження виборчих листівок, плакатів та інших друкованих агітаційних матеріалів чи друкованих видань; проведення мітингів, походів, демонстрацій, пікетів, концертів, вистав, спортивних змагань, демонстрації фільмів та телепередач чи інших публічних заходів за підтримки політичної партії – суб’єкта виборчого процесу чи кандидата на пост Президента України тощо)"
"Всеукраїнське обʼєднання ""Батьківщина""",223,1211,2019-07-02,1670,"ПрАТ ""Телевізійна служба Дніпропетровська""","м. Дніпро, вул. Воскресенська, буд. 14, оф. 107",20264089,Оплата ефірного часу на телебаченні згідно з Додатком №3 до Договору №14/1 від02.07.2019 в т.ч. ПДВ 6000.00 грн.,36000,юридична особа,оплата ефірного часу на телебаченні
"Всеукраїнське обʼєднання ""Батьківщина""",223,1211,2019-07-02,1656,"ТОВ ""Новий канал""","м. Київ, вул. Тургенєвська, буд. 25",23530545,"Оплата ефірного часу на телебаченні згідно з рахунком № СФ-00000186 від 27.06.2019, в т.ч. ПДВ 30746.00 грн.",184476,юридична особа,оплата ефірного часу на телебаченні
"Всеукраїнське обʼєднання ""Батьківщина""",223,1110,2019-07-02,1648,"ТОВ ""Структура ІТ""","м. Київ, вул. Круглоуніверситетська, буд. 7, оф. 26",36676520,Виготовлення друкованих матеріалів згідно з рахунком №15 від 02.07.2019 в т.ч. ПДВ 41666.67 грн.,250000,юридична особа,"виготовлення друкованих матеріалів (виборчих листівок, плакатів та інших агітаційних матеріалів чи видань)"
"Всеукраїнське обʼєднання ""Батьківщина""",223,1211,2019-07-02,1647,"ТОВ ""Інтер реклама центр""","м. Київ, вул. Воровського, буд. 22А",30524103,Оплата ефірного часу на телебаченні згідно з рахунком №124 від 01.07.2019 в т.ч. ПДВ 66666.67 грн.,400000,юридична особа,оплата ефірного часу на телебаченні
"Всеукраїнське обʼєднання ""Батьківщина""",223,1211,2019-07-02,1655,"ТОВ ""Телеканал ""СТБ""","м. Київ, вул. Івана Шевцова, буд. 1",20044726,"Оплата ефірного часу на телебаченні згідно з рахунком № 422 від 27.06.2019, в т.ч. ПДВ 95387.00 грн.",572322,юридична особа,оплата ефірного часу на телебаченні
